  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
108.51  -8.347
108.81  -8.340
109.12  -8.332
109.42  -8.324
109.73  -8.315
110.03  -8.307
110.34  -8.299
110.95  -8.283
111.25  -8.274
111.56  -8.266
111.86  -8.257
112.17  -8.249
112.47  -8.241
112.78  -8.232
113.08  -8.224
113.39  -8.216
117.35  -8.117
117.65  -8.110
117.96  -8.103
118.26  -8.096
118.57  -8.088
118.87  -8.081
119.18  -8.073
119.48  -8.066
119.79  -8.058
120.09  -8.051
120.40  -8.043
120.70  -8.035
121.01  -8.028
121.31  -8.020
121.62  -8.012
121.92  -8.004
122.22  -7.997
122.53  -7.989
122.83  -7.981
123.14  -7.973
123.44  -7.965
123.75  -7.957
124.05  -7.949
124.36  -7.942
124.66  -7.934
124.97  -7.926
125.27  -7.918
125.58  -7.910
125.88  -7.902
126.19  -7.894
126.49  -7.885
126.80  -7.877
127.10  -7.869
127.41  -7.861
127.71  -7.853
128.02  -7.845
128.32  -7.837
128.63  -7.828
128.93  -7.820
129.24  -7.812
129.54  -7.804
129.84  -7.796
130.15  -7.788
130.45  -7.780
130.76  -7.773
131.06  -7.765
131.37  -7.757
131.67  -7.749
131.98  -7.741
132.28  -7.734
132.59  -7.726
132.89  -7.718
133.20  -7.710
133.50  -7.702
133.81  -7.694
134.11  -7.685
134.42  -7.677
134.72  -7.669
135.03  -7.661
135.33  -7.652
135.64  -7.643
135.94  -7.635
136.25  -7.626
136.55  -7.617
136.86  -7.609
137.16  -7.600
137.46  -7.591
137.77  -7.583
138.07  -7.574
138.38  -7.566
138.68  -7.558
138.99  -7.549
139.29  -7.541
139.60  -7.533
139.90  -7.525
140.21  -7.517
140.51  -7.509
140.82  -7.502
141.12  -7.494
141.43  -7.486
141.73  -7.478
142.04  -7.471
142.34  -7.463
142.65  -7.455
142.95  -7.447
143.26  -7.439
143.56  -7.431
143.87  -7.423
144.17  -7.415
144.48  -7.406
144.78  -7.398
145.08  -7.390
145.39  -7.381
145.69  -7.373
146.00  -7.364
146.30  -7.356
146.61  -7.347
146.91  -7.339
147.22  -7.330
147.52  -7.321
147.83  -7.312
148.13  -7.304
148.44  -7.295
148.74  -7.286
149.05  -7.276
149.35  -7.267
149.66  -7.258
149.96  -7.248
150.27  -7.239
150.57  -7.229
150.88  -7.219
151.18  -7.210
151.49  -7.200
151.79  -7.190
152.10  -7.180
152.40  -7.170
152.70  -7.160
153.01  -7.150
153.31  -7.140
153.62  -7.130
153.92  -7.120
154.23  -7.110
154.53  -7.100
154.84  -7.090
155.14  -7.080
155.45  -7.069
155.75  -7.059
156.06  -7.049
156.36  -7.039
156.67  -7.028
156.97  -7.018
157.28  -7.008
157.58  -6.997
157.89  -6.987
158.19  -6.977
158.50  -6.966
158.80  -6.956
159.11  -6.945
159.41  -6.935
159.72  -6.925
160.02  -6.915
160.32  -6.904
160.63  -6.894
160.93  -6.884
161.24  -6.874
161.54  -6.863
161.85  -6.853
162.15  -6.842
162.46  -6.832
162.76  -6.821
163.07  -6.810
163.37  -6.800
163.68  -6.789
163.98  -6.778
164.29  -6.767
164.59  -6.756
164.90  -6.744
165.20  -6.733
165.51  -6.722
165.81  -6.710
166.12  -6.699
166.42  -6.687
166.73  -6.676
167.03  -6.665
167.34  -6.654
167.64  -6.643
167.94  -6.632
168.25  -6.621
168.55  -6.610
168.86  -6.599
169.16  -6.588
169.47  -6.577
169.77  -6.566
170.08  -6.555
170.38  -6.545
170.69  -6.534
170.99  -6.524
171.30  -6.513
171.60  -6.503
171.91  -6.492
172.21  -6.482
172.52  -6.471
172.82  -6.461
173.13  -6.451
173.43  -6.440
173.74  -6.430
174.04  -6.420
174.35  -6.411
174.65  -6.401
174.96  -6.392
175.26  -6.383
175.56  -6.373
175.87  -6.364
176.17  -6.355
176.48  -6.345
176.78  -6.336
177.09  -6.326
177.39  -6.316
177.70  -6.306
178.00  -6.296
178.31  -6.286
178.61  -6.276
178.92  -6.265
179.22  -6.254
179.53  -6.242
179.83  -6.231
180.14  -6.219
180.44  -6.208
180.75  -6.196
181.05  -6.185
181.36  -6.174
181.66  -6.163
181.97  -6.152
182.27  -6.142
182.58  -6.132
182.88  -6.122
183.18  -6.113
183.49  -6.103
183.79  -6.094
184.10  -6.086
184.40  -6.078
184.71  -6.071
185.01  -6.063
185.32  -6.056
185.62  -6.049
185.93  -6.041
186.23  -6.034
186.54  -6.026
186.84  -6.017
187.15  -6.009
187.45  -6.000
187.76  -5.991
188.06  -5.982
188.37  -5.972
188.67  -5.962
188.98  -5.952
189.59  -5.930
189.89  -5.919
190.20  -5.908
190.50  -5.897
190.80  -5.886
191.11  -5.875
191.41  -5.865
195.38  -5.743
195.68  -5.734
