  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Koluktak Test Well #1 
123.75  -4.928
124.05  -4.917
124.36  -4.906
124.66  -4.895
124.97  -4.886
125.27  -4.877
125.58  -4.868
125.88  -4.859
126.19  -4.850
126.49  -4.839
126.80  -4.828
127.10  -4.817
127.41  -4.805
127.71  -4.792
128.02  -4.779
128.32  -4.766
128.63  -4.754
128.93  -4.742
129.24  -4.730
129.54  -4.718
129.84  -4.707
130.15  -4.696
130.45  -4.685
130.76  -4.674
131.06  -4.663
131.37  -4.652
131.67  -4.641
131.98  -4.630
132.28  -4.619
132.59  -4.607
132.89  -4.596
133.20  -4.585
133.50  -4.574
133.81  -4.563
134.11  -4.552
134.42  -4.541
134.72  -4.530
135.03  -4.519
135.33  -4.508
135.64  -4.498
135.94  -4.487
136.25  -4.477
136.55  -4.466
136.86  -4.456
137.16  -4.447
137.46  -4.437
137.77  -4.428
138.07  -4.419
138.38  -4.409
138.68  -4.400
138.99  -4.391
139.29  -4.381
139.60  -4.372
139.90  -4.362
140.21  -4.352
140.51  -4.342
140.82  -4.332
141.12  -4.322
141.43  -4.312
141.73  -4.302
142.04  -4.292
142.34  -4.281
142.65  -4.270
142.95  -4.260
143.26  -4.250
143.56  -4.239
143.87  -4.229
144.17  -4.218
144.48  -4.208
144.78  -4.198
145.08  -4.188
145.39  -4.178
145.69  -4.168
146.00  -4.158
146.30  -4.148
146.61  -4.139
146.91  -4.132
147.22  -4.124
147.52  -4.117
147.83  -4.109
148.13  -4.101
148.44  -4.092
148.74  -4.083
149.05  -4.073
149.35  -4.063
149.66  -4.052
149.96  -4.040
150.27  -4.029
150.57  -4.018
150.88  -4.008
151.18  -3.998
151.49  -3.988
151.79  -3.978
152.10  -3.969
152.40  -3.960
152.70  -3.951
153.01  -3.942
153.31  -3.932
153.62  -3.923
153.92  -3.913
154.23  -3.903
154.53  -3.892
154.84  -3.882
155.14  -3.871
155.45  -3.860
155.75  -3.849
156.06  -3.838
156.36  -3.827
156.67  -3.815
156.97  -3.804
157.28  -3.792
157.58  -3.780
157.89  -3.768
158.19  -3.756
158.50  -3.744
158.80  -3.733
159.11  -3.723
159.41  -3.713
159.72  -3.703
160.02  -3.693
160.32  -3.682
160.63  -3.671
160.93  -3.659
161.24  -3.648
161.54  -3.636
161.85  -3.625
162.15  -3.613
162.46  -3.602
162.76  -3.590
163.07  -3.579
163.37  -3.567
163.68  -3.556
163.98  -3.545
164.29  -3.534
164.59  -3.524
164.90  -3.514
165.20  -3.504
165.51  -3.495
165.81  -3.485
166.12  -3.476
166.42  -3.467
166.73  -3.459
167.03  -3.450
167.34  -3.442
167.64  -3.434
167.94  -3.425
168.25  -3.417
168.55  -3.409
168.86  -3.401
169.16  -3.393
169.47  -3.384
169.77  -3.376
170.08  -3.367
170.38  -3.359
170.69  -3.350
170.99  -3.341
171.30  -3.332
171.60  -3.322
171.91  -3.312
172.21  -3.303
172.52  -3.293
172.82  -3.283
173.13  -3.273
173.43  -3.264
173.74  -3.255
174.04  -3.246
174.35  -3.237
174.65  -3.228
174.96  -3.219
175.26  -3.210
175.56  -3.201
175.87  -3.193
176.17  -3.184
176.48  -3.175
176.78  -3.166
177.09  -3.158
177.39  -3.149
177.70  -3.141
178.00  -3.132
178.31  -3.124
178.61  -3.115
178.92  -3.107
179.22  -3.099
179.53  -3.090
179.83  -3.082
180.14  -3.074
180.44  -3.066
180.75  -3.058
181.05  -3.051
181.36  -3.043
181.66  -3.035
181.97  -3.028
182.27  -3.020
182.58  -3.013
182.88  -3.006
183.18  -2.998
183.49  -2.991
183.79  -2.983
184.10  -2.975
184.40  -2.968
184.71  -2.960
185.01  -2.952
185.32  -2.944
185.62  -2.936
185.93  -2.929
186.23  -2.921
186.54  -2.913
186.84  -2.905
187.15  -2.897
187.45  -2.889
187.76  -2.880
188.06  -2.872
188.37  -2.863
188.67  -2.855
188.98  -2.846
189.28  -2.837
189.59  -2.828
189.89  -2.819
190.20  -2.810
