  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Drew Point Test Well #1 
150.57  -6.104
150.88  -6.093
151.18  -6.082
151.49  -6.072
151.79  -6.061
153.01  -6.022
153.31  -6.012
153.62  -6.003
153.92  -5.994
154.23  -5.986
154.53  -5.978
154.84  -5.970
155.14  -5.962
155.45  -5.954
155.75  -5.946
156.06  -5.938
156.36  -5.929
156.67  -5.920
156.97  -5.911
157.28  -5.902
157.58  -5.893
157.89  -5.884
158.19  -5.875
158.50  -5.865
158.80  -5.856
159.11  -5.846
159.41  -5.835
159.72  -5.825
160.02  -5.815
160.32  -5.805
160.63  -5.794
160.93  -5.784
161.24  -5.774
161.54  -5.764
161.85  -5.755
162.15  -5.745
162.46  -5.736
162.76  -5.726
163.07  -5.716
163.37  -5.707
163.68  -5.698
163.98  -5.688
164.29  -5.679
164.59  -5.670
164.90  -5.660
165.20  -5.651
165.51  -5.642
165.81  -5.633
166.12  -5.624
166.42  -5.614
166.73  -5.605
167.03  -5.596
167.34  -5.586
167.64  -5.577
167.94  -5.568
168.25  -5.559
168.55  -5.550
168.86  -5.541
169.16  -5.532
169.47  -5.523
169.77  -5.514
170.08  -5.505
170.38  -5.495
170.69  -5.486
170.99  -5.477
171.30  -5.468
171.60  -5.459
171.91  -5.450
172.21  -5.441
172.52  -5.432
172.82  -5.423
173.13  -5.413
173.43  -5.404
173.74  -5.395
174.04  -5.385
174.35  -5.376
174.65  -5.366
174.96  -5.357
175.26  -5.348
175.56  -5.338
175.87  -5.329
176.17  -5.320
176.48  -5.310
176.78  -5.301
177.09  -5.292
177.39  -5.282
177.70  -5.273
178.00  -5.264
178.31  -5.254
178.61  -5.245
178.92  -5.235
179.22  -5.226
179.53  -5.217
179.83  -5.207
180.14  -5.198
180.44  -5.189
180.75  -5.179
181.05  -5.170
181.36  -5.161
181.66  -5.151
181.97  -5.142
182.27  -5.133
182.58  -5.124
182.88  -5.115
183.18  -5.106
183.49  -5.097
183.79  -5.088
184.10  -5.079
184.40  -5.070
184.71  -5.062
185.01  -5.053
185.32  -5.044
185.62  -5.034
185.93  -5.025
186.23  -5.016
186.54  -5.006
186.84  -4.997
187.15  -4.987
187.45  -4.978
187.76  -4.968
188.06  -4.958
188.37  -4.947
188.67  -4.937
188.98  -4.927
189.28  -4.916
189.59  -4.906
189.89  -4.895
190.20  -4.885
190.50  -4.874
190.80  -4.864
191.11  -4.854
191.41  -4.844
191.72  -4.834
192.02  -4.824
192.33  -4.814
192.63  -4.804
192.94  -4.794
193.24  -4.785
193.55  -4.775
193.85  -4.765
194.16  -4.755
194.46  -4.746
194.77  -4.736
195.07  -4.727
195.38  -4.717
195.68  -4.707
195.99  -4.698
196.29  -4.688
196.60  -4.678
196.90  -4.669
197.21  -4.659
197.51  -4.650
197.82  -4.641
198.12  -4.631
198.42  -4.622
198.73  -4.613
199.03  -4.604
199.34  -4.594
199.64  -4.585
199.95  -4.576
200.25  -4.566
200.56  -4.557
200.86  -4.548
201.17  -4.538
201.47  -4.529
201.78  -4.519
202.08  -4.510
202.39  -4.500
202.69  -4.490
203.00  -4.480
203.30  -4.470
203.61  -4.460
203.91  -4.450
204.22  -4.440
204.52  -4.430
204.83  -4.421
205.13  -4.411
205.44  -4.401
205.74  -4.391
206.04  -4.382
206.35  -4.372
206.65  -4.363
206.96  -4.353
207.26  -4.344
207.57  -4.334
207.87  -4.325
208.18  -4.316
208.48  -4.307
208.79  -4.298
209.09  -4.288
209.40  -4.279
209.70  -4.270
210.01  -4.261
210.31  -4.252
210.62  -4.243
210.92  -4.234
211.23  -4.225
211.53  -4.216
211.84  -4.207
212.14  -4.198
212.45  -4.188
212.75  -4.179
213.06  -4.170
213.36  -4.161
213.66  -4.152
213.97  -4.143
214.27  -4.134
214.58  -4.125
214.88  -4.117
215.19  -4.108
215.49  -4.099
215.80  -4.091
216.10  -4.082
216.41  -4.074
216.71  -4.066
217.02  -4.058
217.32  -4.049
217.63  -4.042
217.93  -4.034
218.24  -4.026
218.54  -4.018
218.85  -4.010
219.15  -4.002
219.46  -3.994
219.76  -3.986
220.07  -3.978
220.37  -3.970
220.68  -3.962
220.98  -3.954
221.28  -3.946
221.59  -3.938
221.89  -3.929
222.20  -3.921
222.50  -3.913
222.81  -3.904
223.11  -3.896
223.42  -3.887
223.72  -3.879
224.03  -3.870
224.33  -3.862
224.64  -3.853
224.94  -3.844
225.25  -3.835
225.55  -3.826
225.86  -3.817
226.16  -3.808
226.47  -3.799
226.77  -3.790
227.08  -3.781
227.38  -3.771
227.69  -3.761
227.99  -3.751
228.30  -3.742
228.60  -3.732
228.90  -3.722
229.21  -3.712
229.51  -3.702
229.82  -3.693
230.12  -3.683
230.43  -3.674
230.73  -3.664
231.04  -3.654
231.34  -3.645
231.65  -3.635
231.95  -3.626
232.26  -3.617
232.56  -3.608
232.87  -3.598
233.17  -3.589
233.48  -3.580
233.78  -3.571
234.09  -3.562
234.39  -3.552
234.70  -3.543
235.00  -3.534
235.31  -3.524
235.92  -3.505
236.22  -3.496
236.52  -3.487
236.83  -3.477
237.13  -3.468
237.44  -3.458
237.74  -3.448
238.05  -3.439
238.35  -3.429
238.66  -3.420
238.96  -3.410
239.27  -3.400
239.57  -3.391
239.88  -3.381
240.18  -3.372
240.49  -3.362
240.79  -3.352
241.10  -3.343
241.40  -3.333
241.71  -3.323
242.01  -3.313
242.32  -3.304
242.62  -3.294
242.93  -3.284
243.23  -3.274
243.54  -3.264
243.84  -3.254
244.14  -3.244
244.45  -3.234
244.75  -3.223
245.06  -3.213
245.36  -3.202
245.67  -3.192
245.97  -3.181
246.28  -3.170
246.58  -3.160
246.89  -3.149
247.19  -3.138
247.50  -3.126
247.80  -3.115
248.11  -3.104
248.41  -3.093
248.72  -3.081
249.02  -3.070
249.33  -3.058
249.63  -3.047
249.94  -3.035
250.24  -3.023
250.55  -3.012
250.85  -3.000
251.16  -2.988
251.46  -2.976
251.76  -2.963
252.07  -2.951
252.37  -2.939
252.68  -2.927
252.98  -2.914
253.29  -2.902
253.59  -2.890
253.90  -2.877
254.20  -2.865
254.51  -2.853
254.81  -2.841
255.12  -2.829
255.42  -2.817
255.73  -2.806
256.03  -2.794
256.34  -2.782
256.64  -2.771
256.95  -2.759
257.25  -2.748
257.56  -2.736
257.86  -2.725
258.17  -2.713
258.47  -2.702
258.78  -2.690
259.08  -2.679
259.38  -2.667
259.69  -2.656
259.99  -2.644
260.30  -2.633
260.60  -2.621
260.91  -2.610
261.21  -2.598
261.52  -2.587
261.82  -2.576
262.13  -2.565
262.43  -2.553
262.74  -2.542
263.04  -2.530
263.35  -2.519
263.65  -2.507
263.96  -2.495
264.26  -2.483
264.57  -2.471
264.87  -2.458
265.18  -2.446
265.48  -2.433
265.79  -2.420
266.09  -2.407
266.40  -2.393
266.70  -2.379
267.00  -2.365
267.31  -2.351
267.61  -2.337
267.92  -2.323
268.22  -2.309
268.53  -2.296
268.83  -2.282
269.14  -2.269
269.44  -2.255
269.75  -2.242
270.05  -2.229
270.36  -2.216
270.66  -2.203
270.97  -2.190
271.27  -2.177
271.58  -2.164
271.88  -2.151
272.19  -2.139
272.49  -2.126
272.80  -2.114
273.10  -2.101
273.41  -2.089
273.71  -2.076
274.02  -2.063
274.32  -2.051
275.23  -2.013
275.54  -2.001
275.84  -1.989
276.15  -1.977
276.45  -1.965
276.76  -1.953
277.06  -1.941
277.37  -1.929
277.67  -1.917
277.98  -1.905
278.28  -1.892
278.59  -1.880
278.89  -1.867
279.20  -1.855
279.50  -1.842
279.81  -1.829
280.11  -1.816
280.42  -1.803
280.72  -1.789
